Round,Timestamp,Accuracy,Loss,Active_Partitions,Failed_Partitions,Mode
1,36.55,16.17,2.7154,2,0,normal
2,72.32,79.80,0.5886,2,0,normal
3,106.95,83.94,0.4750,2,0,normal
4,142.17,85.45,0.4280,2,0,normal
5,177.47,86.87,0.3867,2,0,normal
6,213.08,87.33,0.3801,2,0,normal
7,248.56,86.77,0.4101,2,0,normal
8,284.11,87.66,0.3876,2,0,normal
9,318.98,88.72,0.3456,2,0,normal
10,354.13,88.68,0.3413,2,0,normal
11,389.49,88.83,0.3501,2,0,normal
12,424.36,88.71,0.3549,2,0,normal
13,465.78,88.86,0.3457,2,0,normal
14,494.52,89.30,0.3378,2,0,normal
15,529.84,89.31,0.3532,2,0,normal
16,565.60,89.35,0.3403,2,0,normal
17,600.73,89.36,0.3422,2,0,normal
18,636.17,89.31,0.3405,2,0,normal
19,670.87,88.99,0.3527,2,0,normal
20,705.89,89.45,0.3352,2,0,normal
