Round,Timestamp,Accuracy,Loss,Participants,Failed_Participants,Mode
1,45.54,16.05,2.5208,2,0,exp1
2,89.40,79.55,0.6057,2,0,exp1
3,126.64,83.93,0.4651,2,0,exp1
4,170.25,85.88,0.4128,2,0,exp1
5,203.26,84.88,0.4538,1,1,exp1
6,246.30,87.63,0.3718,2,0,exp1
7,289.47,88.58,0.3599,2,0,exp1
8,333.33,88.94,0.3451,2,0,exp1
9,373.11,89.12,0.3402,2,0,exp1
10,410.39,88.63,0.3486,2,0,exp1
11,450.82,89.68,0.3304,2,0,exp1
12,491.99,89.72,0.3337,2,0,exp1
13,529.06,89.66,0.3264,2,0,exp1
14,572.80,89.60,0.3382,2,0,exp1
15,615.22,90.09,0.3367,2,0,exp1
16,657.62,90.28,0.3232,2,0,exp1
17,697.10,90.55,0.3382,2,0,exp1
18,760.32,88.17,0.3997,1,1,exp1
19,821.18,88.94,0.3974,1,1,exp1
